id_client,genre,age,permis_conduire,code_regional,ancien_assure,age_vehicule,vehicule_endommage,prime_annuelle,canal_communication,anciennete,reponse_client
34,femelle,24,1,36.0,0,< 1 an,oui,43129.0,152.0,49,0
35,femelle,32,1,30.0,1,< 1 an,no,27638.0,152.0,169,0
36,male,41,1,36.0,1,1-2 an,no,30039.0,124.0,88,0
37,male,71,1,8.0,1,1-2 an,no,40903.0,19.0,253,0
38,femelle,25,1,28.0,1,< 1 an,no,76251.0,152.0,107,0
39,male,45,1,8.0,0,1-2 an,oui,42297.0,124.0,264,0
40,male,72,1,41.0,1,1-2 an,no,32210.0,152.0,233,0
41,male,30,1,30.0,0,< 1 an,oui,24550.0,124.0,45,0
42,femelle,54,1,28.0,0,1-2 an,no,38560.0,122.0,184,0
43,male,27,1,41.0,0,< 1 an,no,21078.0,152.0,251,0
44,femelle,38,1,35.0,1,1-2 an,no,2630.0,152.0,153,0
45,femelle,26,1,30.0,1,< 1 an,no,31136.0,152.0,186,0
46,male,56,1,28.0,0,1-2 an,oui,34617.0,124.0,71,0
47,femelle,29,1,15.0,1,< 1 an,no,32923.0,152.0,34,0
48,male,51,1,26.0,1,1-2 an,no,33761.0,22.0,83,0
49,femelle,25,1,15.0,0,< 1 an,no,38667.0,152.0,12,0
50,male,48,1,3.0,0,1-2 an,no,38233.0,124.0,246,0
51,femelle,22,1,50.0,0,< 1 an,no,15052.0,152.0,141,0
52,male,22,1,16.0,0,< 1 an,oui,30673.0,152.0,216,0
53,femelle,49,1,3.0,1,1-2 an,no,25553.0,152.0,130,0
54,male,78,1,41.0,1,1-2 an,no,49491.0,26.0,282,0
55,femelle,44,1,28.0,0,1-2 an,oui,45415.0,13.0,73,0
56,femelle,20,1,47.0,0,< 1 an,oui,25380.0,160.0,171,0
57,male,39,1,28.0,0,1-2 an,oui,57582.0,26.0,141,0
58,male,54,1,28.0,0,1-2 an,oui,25205.0,26.0,283,1
59,femelle,62,1,48.0,0,1-2 an,oui,2630.0,15.0,295,0
60,male,29,1,3.0,1,< 1 an,no,35463.0,152.0,165,0
61,male,49,1,8.0,0,1-2 an,oui,2630.0,156.0,30,0
62,femelle,20,1,50.0,0,< 1 an,oui,36615.0,160.0,218,0
63,femelle,62,1,28.0,0,> 2 ans,oui,33830.0,26.0,130,0
64,male,58,1,19.0,1,1-2 an,no,39661.0,26.0,141,0
65,male,39,1,15.0,0,1-2 an,oui,37849.0,124.0,22,0
66,femelle,59,1,30.0,0,1-2 an,oui,34426.0,26.0,147,0
67,male,41,1,28.0,0,1-2 an,oui,42268.0,154.0,36,0
68,male,60,1,28.0,0,1-2 an,oui,66338.0,124.0,73,0
69,male,63,1,28.0,1,1-2 an,no,61739.0,124.0,79,0
70,femelle,50,1,41.0,0,1-2 an,oui,2630.0,26.0,81,1
71,male,44,1,47.0,0,1-2 an,oui,46481.0,16.0,100,0
72,femelle,27,1,11.0,0,< 1 an,oui,34587.0,26.0,63,0
73,femelle,23,1,39.0,1,< 1 an,no,40372.0,152.0,242,0
74,male,50,1,28.0,1,1-2 an,no,27784.0,26.0,277,0
75,male,59,1,23.0,0,1-2 an,no,27865.0,124.0,39,0
76,femelle,59,1,26.0,1,1-2 an,no,35649.0,122.0,136,0
77,male,67,1,28.0,1,1-2 an,no,31993.0,122.0,61,0
78,femelle,27,1,33.0,1,< 1 an,no,35512.0,152.0,111,0
79,male,29,1,28.0,0,1-2 an,oui,42567.0,26.0,167,1
80,male,77,1,37.0,1,1-2 an,no,40651.0,124.0,183,0
81,male,54,1,26.0,0,1-2 an,oui,35493.0,22.0,74,0
82,femelle,28,1,28.0,1,< 1 an,no,38529.0,152.0,235,0
83,femelle,39,1,8.0,1,1-2 an,no,34735.0,152.0,131,0
84,femelle,39,1,5.0,0,1-2 an,oui,31760.0,26.0,141,0
85,male,69,1,28.0,0,1-2 an,oui,29802.0,122.0,158,0
86,femelle,21,1,17.0,0,< 1 an,oui,27756.0,160.0,243,0
87,femelle,54,1,47.0,0,> 2 ans,oui,32873.0,26.0,248,0
88,male,25,1,23.0,0,< 1 an,oui,23537.0,152.0,58,0
89,femelle,23,1,35.0,1,< 1 an,no,27606.0,160.0,114,0
90,femelle,20,1,36.0,0,< 1 an,oui,46275.0,160.0,281,1
91,femelle,25,1,50.0,1,< 1 an,no,31556.0,152.0,62,0
92,femelle,26,1,30.0,1,< 1 an,no,31791.0,152.0,189,0
93,male,77,1,28.0,0,1-2 an,oui,36099.0,124.0,139,0
94,femelle,28,1,41.0,0,1-2 an,no,2630.0,156.0,138,0
95,femelle,23,1,15.0,0,< 1 an,oui,41641.0,152.0,209,0
96,femelle,23,1,30.0,0,< 1 an,no,26689.0,152.0,254,0
97,male,50,1,28.0,0,1-2 an,oui,46995.0,52.0,291,0
98,femelle,62,1,28.0,0,> 2 ans,oui,41892.0,155.0,114,0
99,femelle,21,1,2.0,0,< 1 an,oui,34274.0,152.0,79,0
100,femelle,24,1,7.0,1,< 1 an,oui,2630.0,160.0,68,0
101,male,52,1,28.0,1,1-2 an,no,36033.0,26.0,92,0
102,male,24,1,3.0,1,< 1 an,no,28139.0,152.0,52,0
103,femelle,20,1,30.0,0,< 1 an,oui,33227.0,160.0,78,0
104,femelle,22,1,8.0,1,< 1 an,no,39816.0,152.0,156,0
105,male,29,1,41.0,1,< 1 an,oui,43046.0,163.0,222,0
106,femelle,44,1,28.0,0,1-2 an,oui,50521.0,26.0,22,1
107,femelle,23,1,41.0,1,< 1 an,no,36674.0,152.0,158,0
108,male,31,1,29.0,0,1-2 an,oui,28867.0,124.0,247,0
109,male,72,1,46.0,1,1-2 an,oui,28698.0,30.0,216,0
110,male,45,1,35.0,0,1-2 an,oui,2630.0,124.0,275,0
111,male,27,1,8.0,1,< 1 an,no,31428.0,122.0,77,0
112,femelle,48,1,46.0,0,> 2 ans,oui,37379.0,11.0,139,0
113,femelle,33,1,30.0,1,< 1 an,no,24998.0,152.0,181,0
114,male,50,1,30.0,0,1-2 an,oui,34271.0,26.0,229,1
115,femelle,28,1,30.0,1,< 1 an,no,32830.0,152.0,275,0
116,femelle,32,1,46.0,0,1-2 an,oui,34810.0,26.0,166,0
117,male,69,1,46.0,0,1-2 an,oui,2630.0,11.0,16,0
118,femelle,32,1,27.0,1,< 1 an,no,22838.0,151.0,295,0
119,femelle,23,1,29.0,1,< 1 an,no,37983.0,152.0,23,0
120,femelle,23,1,25.0,0,< 1 an,no,2630.0,152.0,149,0
121,male,39,1,3.0,0,1-2 an,oui,37239.0,26.0,216,1
122,femelle,39,1,28.0,1,1-2 an,no,37243.0,124.0,31,0
123,male,37,1,13.0,0,1-2 an,oui,30440.0,124.0,293,0
124,male,34,1,18.0,0,1-2 an,oui,38232.0,124.0,156,1
125,male,23,1,15.0,1,< 1 an,no,25605.0,160.0,256,0
126,male,49,1,28.0,0,1-2 an,oui,2630.0,124.0,88,0
127,male,23,1,41.0,1,< 1 an,no,33307.0,152.0,147,0
128,femelle,22,1,25.0,0,< 1 an,oui,23955.0,160.0,22,0
129,femelle,22,1,20.0,0,< 1 an,oui,2630.0,152.0,219,0
130,femelle,27,1,41.0,1,< 1 an,no,22371.0,152.0,50,0
131,male,50,1,28.0,0,1-2 an,oui,57389.0,26.0,155,1
132,femelle,27,1,28.0,1,< 1 an,no,30005.0,152.0,92,0
133,male,28,1,37.0,1,< 1 an,no,32600.0,152.0,131,0
134,femelle,25,1,49.0,1,< 1 an,no,31680.0,152.0,66,0
135,femelle,27,1,8.0,1,< 1 an,no,40651.0,152.0,260,0
136,femelle,43,1,41.0,0,1-2 an,oui,2630.0,26.0,19,1
137,femelle,59,1,39.0,0,1-2 an,oui,32775.0,124.0,158,0
138,femelle,23,1,36.0,0,< 1 an,oui,33638.0,160.0,22,0
139,male,36,1,28.0,1,1-2 an,no,2630.0,26.0,258,0
140,male,21,1,29.0,1,< 1 an,no,62164.0,152.0,116,0
141,femelle,21,1,46.0,1,< 1 an,no,27528.0,160.0,117,0
142,femelle,47,1,41.0,1,1-2 an,no,42080.0,124.0,62,0
143,male,25,1,28.0,1,< 1 an,no,36202.0,152.0,193,0
144,femelle,32,1,46.0,0,1-2 an,oui,27320.0,156.0,204,0
145,male,21,1,3.0,1,< 1 an,no,40511.0,160.0,212,0
146,male,23,1,28.0,0,< 1 an,oui,56589.0,152.0,144,0
147,femelle,27,1,30.0,1,< 1 an,no,33780.0,152.0,246,0
148,male,20,1,39.0,1,< 1 an,no,28329.0,160.0,78,0
149,femelle,38,1,28.0,0,1-2 an,oui,34471.0,124.0,234,1
150,femelle,22,1,11.0,1,< 1 an,no,76651.0,152.0,258,0
151,male,25,1,8.0,0,< 1 an,oui,54385.0,152.0,206,0
152,male,27,1,28.0,0,< 1 an,oui,26732.0,152.0,282,0
153,male,51,1,19.0,0,1-2 an,oui,2630.0,124.0,228,0
154,male,53,1,28.0,1,1-2 an,no,40397.0,122.0,156,0
155,femelle,24,1,22.0,1,< 1 an,no,34591.0,152.0,125,0
156,femelle,49,1,28.0,0,1-2 an,oui,32771.0,154.0,29,0
157,femelle,41,1,28.0,0,1-2 an,oui,54740.0,124.0,212,1
158,male,41,1,35.0,0,1-2 an,oui,25112.0,154.0,221,0
159,femelle,23,1,47.0,0,< 1 an,oui,28737.0,152.0,18,0
160,femelle,31,1,15.0,1,< 1 an,no,25908.0,152.0,84,0
161,male,20,1,3.0,1,< 1 an,no,41914.0,160.0,206,0
162,male,70,1,25.0,1,1-2 an,no,2630.0,124.0,230,0
163,male,78,1,28.0,1,1-2 an,no,42462.0,26.0,54,0
164,femelle,31,1,28.0,1,1-2 an,no,29395.0,26.0,123,0
165,femelle,48,1,36.0,1,1-2 an,no,2630.0,124.0,189,0
166,male,25,1,30.0,1,< 1 an,no,29396.0,152.0,22,0
167,femelle,28,1,44.0,0,1-2 an,oui,37570.0,156.0,258,1
168,femelle,26,1,8.0,0,< 1 an,oui,89282.0,152.0,101,0
169,femelle,60,1,28.0,1,1-2 an,no,30386.0,26.0,114,0
170,femelle,28,1,8.0,1,< 1 an,no,31454.0,152.0,86,0
171,male,23,1,36.0,1,< 1 an,no,52462.0,152.0,243,0
172,male,22,1,36.0,1,< 1 an,no,36352.0,152.0,13,0
173,femelle,50,1,28.0,0,1-2 an,oui,36282.0,26.0,237,0
174,femelle,33,1,36.0,1,< 1 an,no,40899.0,152.0,85,0
175,male,24,1,35.0,1,< 1 an,no,23540.0,152.0,98,0
176,femelle,22,1,36.0,1,< 1 an,no,34527.0,152.0,67,0
177,male,25,1,28.0,1,< 1 an,no,101021.0,152.0,49,0
178,male,60,1,45.0,0,1-2 an,no,42888.0,124.0,229,0
179,male,46,1,28.0,0,1-2 an,oui,60478.0,26.0,128,1
180,femelle,45,1,46.0,0,1-2 an,oui,22689.0,26.0,95,0
181,male,30,1,28.0,1,1-2 an,no,40167.0,125.0,264,0
182,male,52,1,0.0,0,1-2 an,oui,2630.0,124.0,89,0
183,male,47,1,15.0,1,1-2 an,no,29306.0,14.0,99,0
184,male,59,1,41.0,1,1-2 an,no,28821.0,26.0,29,0
185,femelle,51,1,28.0,0,1-2 an,oui,57008.0,26.0,208,0
186,male,52,1,0.0,1,1-2 an,no,2630.0,26.0,134,0
187,male,48,1,8.0,0,> 2 ans,oui,44021.0,124.0,135,0
188,male,42,1,37.0,0,1-2 an,oui,36532.0,124.0,268,0
189,femelle,45,1,28.0,0,1-2 an,oui,25604.0,26.0,85,0
190,femelle,27,1,11.0,1,1-2 an,no,26756.0,124.0,254,0
191,femelle,28,1,8.0,1,< 1 an,no,37731.0,152.0,30,0
192,femelle,24,1,16.0,1,< 1 an,no,28190.0,152.0,284,0
193,male,32,1,46.0,1,< 1 an,no,23847.0,152.0,183,0
194,male,21,1,47.0,0,< 1 an,no,37028.0,160.0,119,0
195,male,39,1,28.0,1,1-2 an,no,29468.0,26.0,166,0
196,male,55,1,30.0,1,1-2 an,no,29215.0,26.0,226,0
197,femelle,56,1,15.0,0,1-2 an,no,29132.0,154.0,229,0
198,male,42,1,3.0,0,1-2 an,oui,32293.0,124.0,105,1
199,femelle,26,1,26.0,1,< 1 an,no,2630.0,152.0,142,0
200,femelle,42,1,28.0,0,1-2 an,oui,40613.0,124.0,242,0
201,male,55,1,28.0,0,1-2 an,oui,49470.0,124.0,203,0
202,femelle,41,1,28.0,0,1-2 an,oui,22561.0,124.0,207,1
203,male,22,1,11.0,1,< 1 an,no,21126.0,152.0,272,0
204,male,42,1,8.0,0,1-2 an,no,24224.0,154.0,66,0
205,femelle,30,1,28.0,0,< 1 an,oui,39104.0,122.0,263,1
206,male,21,1,30.0,0,< 1 an,oui,26720.0,160.0,64,0
207,femelle,23,1,46.0,1,< 1 an,no,18682.0,152.0,57,0
208,femelle,21,1,6.0,0,< 1 an,oui,19196.0,152.0,40,0
209,male,24,1,6.0,1,< 1 an,no,18576.0,151.0,245,0
210,male,26,1,37.0,0,< 1 an,oui,57159.0,160.0,163,0
211,femelle,48,1,28.0,1,1-2 an,no,35945.0,124.0,24,0
212,male,45,1,28.0,0,1-2 an,oui,33205.0,26.0,243,0
213,male,44,1,28.0,0,> 2 ans,oui,42754.0,124.0,23,1
214,male,42,1,45.0,0,1-2 an,no,28759.0,25.0,102,0
215,male,44,1,2.0,0,1-2 an,no,34618.0,26.0,265,0
216,femelle,25,1,9.0,0,< 1 an,no,34280.0,160.0,202,0
217,femelle,60,1,28.0,0,> 2 ans,oui,65472.0,26.0,36,0
218,femelle,21,1,46.0,0,< 1 an,oui,33245.0,152.0,259,0
219,male,22,1,15.0,0,< 1 an,oui,32252.0,160.0,100,0
220,male,23,1,41.0,1,< 1 an,no,26285.0,152.0,91,0
221,femelle,44,1,28.0,1,1-2 an,no,2630.0,124.0,114,0
222,male,40,1,20.0,0,1-2 an,oui,2630.0,26.0,204,0
223,male,21,1,27.0,1,< 1 an,no,45006.0,160.0,106,0
224,femelle,61,1,28.0,0,> 2 ans,oui,2630.0,157.0,190,1
225,male,75,1,28.0,0,> 2 ans,oui,40765.0,124.0,162,0
226,femelle,53,1,28.0,1,1-2 an,no,44313.0,61.0,33,0
227,male,37,1,8.0,1,1-2 an,no,29099.0,152.0,194,0
228,male,29,1,28.0,1,< 1 an,no,44742.0,152.0,85,0
229,male,32,1,50.0,0,< 1 an,no,2630.0,1.0,287,0
230,femelle,64,1,28.0,1,1-2 an,oui,41697.0,26.0,287,0
231,male,42,1,31.0,0,1-2 an,oui,2630.0,124.0,181,0
232,male,24,1,47.0,0,< 1 an,oui,36414.0,124.0,292,0
233,male,53,1,0.0,0,1-2 an,oui,2630.0,26.0,69,0
234,male,62,1,15.0,0,1-2 an,no,44679.0,86.0,239,0
235,male,25,1,46.0,1,< 1 an,no,39914.0,152.0,235,0
236,male,23,1,39.0,0,< 1 an,oui,29575.0,152.0,281,1
237,femelle,48,1,33.0,0,1-2 an,oui,44724.0,154.0,132,0
238,male,28,1,15.0,1,< 1 an,no,38339.0,152.0,245,0
239,male,33,1,3.0,1,1-2 an,no,27609.0,152.0,255,0
240,femelle,63,1,28.0,0,> 2 ans,oui,31004.0,26.0,281,0
241,male,22,1,46.0,1,< 1 an,no,30745.0,152.0,147,0
242,male,27,1,3.0,1,< 1 an,no,27181.0,152.0,125,0
243,femelle,36,1,28.0,0,1-2 an,oui,40431.0,124.0,230,0
244,male,49,1,28.0,0,1-2 an,oui,45558.0,26.0,49,0
245,femelle,39,1,46.0,0,1-2 an,no,35145.0,26.0,116,0
246,femelle,21,1,11.0,0,< 1 an,oui,35555.0,152.0,242,1
247,femelle,57,1,46.0,0,1-2 an,oui,30777.0,26.0,158,0
248,femelle,43,1,28.0,0,1-2 an,oui,29578.0,31.0,203,1
249,femelle,25,1,27.0,0,< 1 an,no,2630.0,152.0,167,0
250,male,41,1,11.0,1,1-2 an,no,35614.0,26.0,152,0
251,male,33,1,31.0,1,< 1 an,no,2630.0,152.0,259,0
252,male,23,1,12.0,1,< 1 an,no,24886.0,26.0,111,0
253,femelle,20,1,34.0,0,< 1 an,oui,33247.0,160.0,281,0
254,male,36,1,28.0,1,1-2 an,no,47682.0,124.0,121,0
255,male,21,1,13.0,1,< 1 an,no,37710.0,152.0,30,0
256,femelle,57,1,28.0,0,> 2 ans,oui,2630.0,26.0,71,0
257,male,25,1,28.0,1,< 1 an,no,43516.0,152.0,150,0
258,femelle,24,1,46.0,0,< 1 an,oui,27141.0,152.0,246,0
259,male,67,1,28.0,1,1-2 an,no,31011.0,122.0,63,0
260,male,24,1,13.0,1,< 1 an,no,44603.0,152.0,207,0
261,male,54,1,28.0,0,1-2 an,oui,34367.0,124.0,237,1
262,femelle,22,1,12.0,1,< 1 an,no,29823.0,152.0,128,0
263,male,45,1,30.0,1,1-2 an,no,2630.0,26.0,121,0
264,male,22,1,36.0,1,< 1 an,no,2630.0,152.0,60,0
265,male,24,1,28.0,0,< 1 an,oui,21583.0,152.0,143,0
266,femelle,22,1,11.0,1,< 1 an,no,32234.0,152.0,117,0
267,male,48,1,28.0,0,1-2 an,oui,42028.0,26.0,77,0
268,femelle,28,1,21.0,1,< 1 an,no,26106.0,152.0,95,0
269,femelle,27,1,50.0,0,< 1 an,oui,2630.0,160.0,83,0
270,male,49,1,46.0,1,1-2 an,no,2630.0,30.0,198,0
271,male,62,1,8.0,0,1-2 an,oui,47272.0,26.0,194,0
272,male,45,1,28.0,0,1-2 an,oui,42704.0,26.0,116,0
273,femelle,60,1,6.0,0,1-2 an,oui,2630.0,157.0,143,0
274,femelle,20,1,17.0,0,1-2 an,no,2630.0,156.0,181,0
275,femelle,38,1,10.0,0,1-2 an,oui,37039.0,124.0,103,0
276,femelle,52,1,31.0,0,1-2 an,oui,2630.0,26.0,127,0
277,femelle,36,1,15.0,0,1-2 an,oui,2630.0,26.0,69,1
278,male,55,1,28.0,0,> 2 ans,oui,41246.0,26.0,285,0
279,femelle,20,1,35.0,0,< 1 an,oui,34281.0,160.0,214,0
280,male,25,1,28.0,1,< 1 an,no,47031.0,26.0,151,0
281,male,25,1,39.0,0,< 1 an,no,2630.0,152.0,217,0
282,femelle,54,1,41.0,0,1-2 an,oui,53581.0,124.0,199,1
283,femelle,21,1,14.0,1,< 1 an,no,36712.0,152.0,56,0
284,male,40,1,48.0,0,> 2 ans,oui,2630.0,26.0,86,0
285,male,36,1,28.0,0,1-2 an,oui,34165.0,124.0,143,0
286,male,42,1,15.0,0,1-2 an,oui,28883.0,26.0,66,0
287,male,24,1,10.0,1,< 1 an,no,35443.0,152.0,45,0
288,male,39,1,28.0,0,1-2 an,oui,32807.0,157.0,186,0
289,male,26,1,10.0,0,< 1 an,oui,24115.0,152.0,69,0
290,male,64,1,8.0,0,1-2 an,oui,2630.0,124.0,293,0
291,femelle,25,1,47.0,1,< 1 an,no,2630.0,160.0,299,0
292,femelle,22,1,13.0,1,< 1 an,no,37093.0,152.0,66,0
293,femelle,43,1,3.0,0,1-2 an,oui,31020.0,26.0,59,1
294,femelle,28,1,6.0,1,< 1 an,no,18683.0,152.0,215,0
295,male,22,1,13.0,1,< 1 an,no,33413.0,152.0,104,0
296,femelle,26,1,16.0,0,< 1 an,oui,32232.0,152.0,238,0
297,femelle,22,1,46.0,0,< 1 an,oui,31180.0,152.0,120,0
298,male,60,1,8.0,0,1-2 an,oui,2630.0,124.0,21,0
299,femelle,49,1,31.0,0,1-2 an,oui,2630.0,124.0,32,1
300,male,22,1,21.0,1,< 1 an,no,30893.0,152.0,29,0
301,male,21,1,29.0,1,< 1 an,no,43798.0,152.0,258,0
302,male,67,1,28.0,0,1-2 an,oui,32653.0,124.0,171,0
303,femelle,35,1,28.0,0,1-2 an,oui,41662.0,150.0,223,0
304,femelle,24,1,33.0,1,< 1 an,no,20513.0,152.0,270,0
305,male,24,1,11.0,1,< 1 an,no,27771.0,152.0,233,0
306,male,24,1,15.0,1,< 1 an,no,23267.0,152.0,143,0
307,femelle,28,1,41.0,1,< 1 an,no,37948.0,152.0,211,0
308,femelle,24,1,30.0,1,< 1 an,no,24414.0,152.0,149,0
309,male,71,1,28.0,0,1-2 an,oui,42881.0,124.0,105,0
310,male,26,1,35.0,1,< 1 an,no,51047.0,152.0,165,0
311,femelle,45,1,28.0,0,> 2 ans,oui,73929.0,157.0,86,0
312,femelle,59,1,39.0,0,1-2 an,oui,44630.0,124.0,200,0
313,femelle,26,1,28.0,1,< 1 an,no,44082.0,152.0,197,0
314,femelle,24,1,46.0,1,< 1 an,no,21006.0,152.0,11,0
315,male,42,1,8.0,0,1-2 an,oui,35600.0,124.0,213,0
316,male,20,1,12.0,0,< 1 an,oui,82705.0,160.0,49,0
317,male,54,1,6.0,1,1-2 an,no,24515.0,124.0,93,0
318,male,48,1,8.0,1,1-2 an,no,41483.0,124.0,113,0
319,male,59,1,41.0,0,1-2 an,oui,2630.0,156.0,88,0
320,male,43,1,5.0,1,1-2 an,oui,2630.0,124.0,178,0
321,femelle,40,1,29.0,0,1-2 an,oui,2630.0,157.0,77,0
322,male,77,1,50.0,1,1-2 an,no,42327.0,124.0,10,0
323,femelle,22,1,28.0,0,< 1 an,oui,48276.0,152.0,290,0
324,femelle,35,1,28.0,0,1-2 an,oui,41029.0,125.0,94,0
325,male,24,1,8.0,1,< 1 an,no,35981.0,152.0,231,0
326,femelle,24,1,33.0,1,< 1 an,no,32219.0,152.0,45,0
327,femelle,26,1,47.0,1,< 1 an,no,2630.0,152.0,296,0
328,male,26,1,30.0,1,< 1 an,no,2630.0,152.0,270,0
329,male,39,1,28.0,0,1-2 an,oui,38036.0,157.0,10,0
330,femelle,52,1,45.0,0,1-2 an,oui,23918.0,26.0,265,0
331,male,20,1,28.0,1,< 1 an,no,31367.0,160.0,255,0
332,male,69,1,28.0,0,1-2 an,oui,30727.0,122.0,47,0
333,femelle,28,1,46.0,1,< 1 an,no,41526.0,160.0,122,0
334,male,44,1,28.0,0,1-2 an,oui,30427.0,124.0,237,1
335,femelle,22,1,8.0,1,< 1 an,no,48773.0,152.0,217,0
336,male,20,1,29.0,1,1-2 an,no,2630.0,157.0,271,0
337,male,21,1,8.0,1,< 1 an,no,27076.0,160.0,278,0
338,male,23,1,18.0,1,< 1 an,no,35970.0,26.0,16,0
339,male,36,1,8.0,0,1-2 an,oui,30941.0,26.0,249,0
340,femelle,69,1,28.0,0,1-2 an,oui,32400.0,26.0,189,1
341,male,27,1,15.0,0,< 1 an,oui,33845.0,152.0,260,0
342,male,47,1,41.0,1,1-2 an,no,36809.0,26.0,226,0
343,femelle,49,1,28.0,0,1-2 an,oui,48505.0,124.0,271,0
344,male,25,1,25.0,1,< 1 an,no,32856.0,152.0,275,0
345,femelle,21,1,29.0,1,< 1 an,no,29166.0,152.0,278,0
346,male,42,1,38.0,0,1-2 an,oui,34193.0,156.0,116,1
347,male,22,1,37.0,0,< 1 an,oui,38240.0,152.0,221,1
348,femelle,42,1,28.0,0,1-2 an,oui,39977.0,124.0,276,0
349,femelle,31,1,28.0,0,1-2 an,oui,39423.0,124.0,190,0
350,femelle,60,1,36.0,1,1-2 an,oui,36638.0,124.0,33,0
351,male,46,1,29.0,0,1-2 an,oui,28946.0,124.0,64,0
352,femelle,23,1,46.0,1,< 1 an,no,2630.0,152.0,88,0
353,femelle,22,1,30.0,1,< 1 an,no,18202.0,152.0,107,0
354,male,20,1,8.0,1,< 1 an,no,38076.0,160.0,79,0
355,male,57,1,28.0,0,1-2 an,oui,19618.0,122.0,96,1
356,femelle,29,1,28.0,1,< 1 an,no,27715.0,152.0,93,0
357,male,22,1,46.0,1,< 1 an,oui,28311.0,152.0,240,0
358,femelle,22,1,36.0,0,< 1 an,oui,2630.0,152.0,211,0
359,male,43,1,28.0,0,1-2 an,oui,39495.0,124.0,172,1
360,male,54,1,15.0,0,1-2 an,oui,35116.0,124.0,171,1
361,male,44,1,28.0,0,1-2 an,oui,39450.0,124.0,214,0
362,femelle,23,1,8.0,1,< 1 an,no,42644.0,152.0,257,0
363,femelle,50,1,28.0,0,1-2 an,oui,68147.0,30.0,218,0
364,male,50,1,28.0,1,1-2 an,no,42024.0,122.0,224,0
365,femelle,44,1,41.0,0,1-2 an,oui,30875.0,124.0,173,0
366,male,22,1,46.0,1,< 1 an,no,25037.0,152.0,220,0
367,male,31,1,24.0,0,1-2 an,oui,2630.0,156.0,257,0
368,femelle,20,1,12.0,0,< 1 an,oui,2630.0,160.0,203,0
369,male,52,1,30.0,1,< 1 an,no,2630.0,1.0,152,0
370,male,58,1,28.0,1,1-2 an,no,44522.0,23.0,94,0
371,male,59,1,49.0,0,1-2 an,oui,39971.0,124.0,143,0
372,femelle,25,1,8.0,1,< 1 an,no,42307.0,152.0,213,0
373,male,45,1,28.0,0,> 2 ans,oui,49145.0,122.0,222,1
374,male,44,1,46.0,1,1-2 an,no,50696.0,26.0,193,0
375,femelle,38,1,29.0,0,1-2 an,oui,47639.0,122.0,169,0
376,male,38,1,28.0,0,1-2 an,oui,65212.0,124.0,32,0
377,male,23,1,27.0,1,< 1 an,no,26287.0,160.0,199,0
378,femelle,78,1,46.0,1,1-2 an,no,31616.0,11.0,185,0
379,male,20,1,35.0,1,< 1 an,no,2630.0,160.0,81,0
380,male,25,1,11.0,0,< 1 an,no,38081.0,152.0,132,0
